text,created_at,retweet_count,favorite_count
No matter what happens today in the Senate Republican House Members should be very proud of themselves. They flew back to Washington from all parts of the World in order to vote for Border Security and the Wall. Not one Democrat voted yes and we won big. I am very proud of you!,12/21/18,17819,78125
.....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work and the Democrats are lying when they say they don’t. In Israel the Wall is 99.9% successful. Will not be any different on our Southern Border! Hundreds of $Billions saved!,12/21/18,15582,67948
The Democrats are trying to belittle the concept of a Wall calling it old fashioned. The fact is there is nothing else’s that will work and that has been true for thousands of years. It’s like the wheel there is nothing better. I know tech better than anyone &amp; technology.....,12/21/18,22063,101281
Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will need Democrat votes but as shown in the House good things happen. If enough Dems don’t vote it will be a Democrat Shutdown! House Republicans were great yesterday!,12/21/18,16593,73249
Soon to be Speaker Nancy Pelosi said last week live from the Oval Office that the Republicans didn’t have the votes for Border Security. Today the House Republicans voted and won 217-185. Nancy does not have to apologize. All I want is GREAT BORDER SECURITY!,12/21/18,28189,113127
Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final numbers were 217-185 and many have said that the enthusiasm was greater than they have ever seen before. So proud of you all. Now on to the Senate!,12/21/18,28351,125268
General Jim Mattis will be retiring with distinction at the end of February after having served my Administration as Secretary of Defense for the past two years. During Jim’s tenure tremendous progress has been made especially with respect to the purchase of new fighting....,12/20/18,20654,90865
....equipment. General Mattis was a great help to me in getting allies and other countries to pay their share of military obligations. A new Secretary of Defense will be named shortly. I greatly thank Jim for his service!,12/20/18,15917,75018
Democrats it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security must become a #1 priority! https://t.co/Wck6UpQGil,12/20/18,24228,93654
Farm Bill signing in 15 minutes! #Emmys #TBT https://t.co/KtSS17xvIn,12/20/18,36226,132284
So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting for our enemy Syria by staying &amp; killing ISIS for them Russia Iran &amp; other locals? Time to focus on our Country &amp; bring our youth back home where they belong!,12/20/18,25228,118087
Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great bi-partisan achievement for everybody. When both parties work together we can keep our Country safer. A wonderful thing for the U.S.A.!!,12/20/18,13689,64910
When I begrudgingly signed the Omnibus Bill I was promised the Wall and Border Security by leadership. Would be done by end of year (NOW). It didn’t happen! We foolishly fight for Border Security for other countries - but not for our beloved U.S.A. Not good!,12/20/18,30304,119968
With so much talk about the Wall people are losing sight of the great job being done on our Southern Border by Border Patrol ICE and our great Military. Remember the Caravans? Well they didn’t get through and none are forming or on their way. Border is tight. Fake News silent!,12/20/18,24050,101172
The Democrats who know Steel Slats (Wall) are necessary for Border Security are putting politics over Country. What they are just beginning to realize is that I will not sign any of their legislation including infrastructure unless it has perfect Border Security. U.S.A. WINS!,12/20/18,22888,94469
....Russia Iran Syria &amp; many others are not happy about the U.S. leaving despite what the Fake News says because now they will have to fight ISIS and others who they hate without us. I am building by far the most powerful military in the world. ISIS hits us they are doomed!,12/20/18,16936,74564
Does the USA want to be the Policeman of the Middle East getting NOTHING but spending precious lives and trillions of dollars protecting others who in almost all cases do not appreciate what we are doing? Do we want to be there forever? Time for others to finally fight.....,12/20/18,26017,109948
Getting out of Syria was no surprise. I’ve been campaigning on it for years and six months ago when I very publicly wanted to do it I agreed to stay longer. Russia Iran Syria &amp; others are the local enemy of ISIS. We were doing there work. Time to come home &amp; rebuild. #MAGA,12/20/18,16808,72204
“I’m proud of the President today to hear that he is declaring victory in Syria.” Senator Rand Paul.  “I couldn’t agree more with the presidents decision. By definition this is the opposite of an Obama decision. Senator Mike Lee,12/20/18,13158,60475
“Trump gets no credit for what he’s done in the Middle East.”  @IngrahamAngle  So true thank you Laura!,12/20/18,15142,74315
Col. Jim Carafano on @IngrahamAngle “Trump has made the Middle East a better place. When Trump came into office ISIS was running amuck in the Middle East. Over a million refugees poured into Western Europe - none of that is happening today. That’s all due to Trump.”,12/20/18,15627,63010
After historic victories against ISIS it’s time to bring our great young people home! https://t.co/xoNjFzQFTp,12/19/18,29396,118571
....In any event it goes on and on &amp; the new AG who is now being replaced by yet another AG (who openly campaigned on a GET TRUMP agenda) does little else but rant rave &amp; politic against me. Will never be treated fairly by these people - a total double standard of “justice.”,12/19/18,17280,72633
...sleazebag AG Eric Schneiderman who has since resigned over horrific women abuse when I wanted to close the Foundation so as not to be in conflict with politics. Shady Eric was head of New Yorkers for Clinton and refused to even look at the corrupt Clinton Foundation......,12/19/18,20672,80635
The Trump Foundation has done great work and given away lots of money both mine and others to great charities over the years - with me taking NO fees rent salaries etc. Now as usual I am getting slammed by Cuomo and the Dems in a long running civil lawsuit started by.....,12/19/18,16282,65794
We have defeated ISIS in Syria my only reason for being there during the Trump Presidency.,12/19/18,25524,116733
Mexico is paying (indirectly) for the Wall through the new USMCA the replacement for NAFTA! Far more money coming to the U.S. Because of the tremendous dangers at the Border including large scale criminal and drug inflow the United States Military will build the Wall!,12/19/18,23954,98828
In our Country so much money has been poured down the drain for so many years but when it comes to Border Security and the Military the Democrats fight to the death. We won on the Military which is being completely rebuilt. One way or the other we will win on the Wall!,12/19/18,25288,109676
In our Country so much money has been poured down the drain for so many years but the Democrats fight us like cats and dogs when it comes to spending on Boarder Security (including a Wall) and the Military. We won on the Military it is being completely rebuilt. We will win...,12/19/18,353,1201
....This will keep our communities safer and provide hope and a second chance to those who earn it. In addition to everything else billions of dollars will be saved. I look forward to signing this into law!,12/19/18,13725,67055
America is the greatest Country in the world and my job is to fight for ALL citizens even those who have made mistakes. Congratulations to the Senate on the bi-partisan passing of a historic Criminal Justice Reform Bill....,12/19/18,20647,97417
The Democrats are saying loud and clear that they do not want to build a Concrete Wall - but we are not building a Concrete Wall we are building artistically designed steel slats so that you can easily see through it....,12/19/18,22852,98873
....It will be beautiful and at the same time give our Country the security that our citizens deserve. It will go up fast and save us BILLIONS of dollars a month once completed!,12/19/18,18512,81752
Congratulations to @MarthaMcSally on her appointment by Governor @DougDucey as the Great new Senator from Arizona - I have no doubt she will do a fantastic job!,12/19/18,11617,57885
“President Donald J. Trump’s Commission on School Safety examined ways to make our schools safe for all students and teachers.” Read more: https://t.co/Sj3T2B3cKW https://t.co/M0iiESm2fJ,12/18/18,10816,45671
Michael Isikoff was the first to report Dossier allegations and now seriously doubts the Dossier claims. The whole Russian Collusion thing was a HOAX but who is going to restore the good name of so many people whose reputations have been destroyed?,12/18/18,21238,82019
....WILL NEVER BE PROVEN AND ARE LIKELY FALSE.”  Thank you to Michael Isikoff Yahoo for honesty. What this means is that the FISA WARRANTS and the whole Russian Witch Hunt is a Fraud and a Hoax which should be ended immediately. Also it was paid for by Crooked Hillary &amp; DNC!,12/18/18,19460,75842
Russia Dossier reporter now doubts dopey Christopher Steele’s claims! “When you get into the details of the Steele Dossier the specific allegations we have not seen the evidence to support them. There’s good grounds to think that some of the more sensational allegations.....,12/18/18,14488,57018
Illegal immigration costs the United States more than 200 Billion Dollars a year. How was this allowed to happen?,12/18/18,24894,92263
Facebook Twitter and Google are so biased toward the Dems it is ridiculous! Twitter in fact has made it much more difficult for people to join @realDonaldTrump. They have removed many names &amp; greatly slowed the level and speed of increase. They have acknowledged-done NOTHING!,12/18/18,26345,96334
I hope the people over at the Fed will read today’s Wall Street Journal Editorial before they make yet another mistake. Also don’t let the market become any more illiquid than it already is. Stop with the 50 B’s. Feel the market don’t just go by meaningless numbers. Good luck!,12/18/18,16500,70330
Good luck today in court to General Michael Flynn. Will be interesting to see what he has to say despite tremendous pressure being put on him about Russian Collusion in our great and obviously highly successful political campaign. There was no Collusion!,12/18/18,18557,77887
Biggest outrage yet in the long winding and highly conflicted Mueller Witch Hunt is the fact that 19000 demanded Text messages between Peter Strzok and his FBI lover Lisa Page were purposely &amp; illegally deleted. Would have explained whole Hoax which is now under protest!,12/18/18,20258,76049
Today I am making good on my promise to defend our Farmers &amp; Ranchers from unjustified trade retaliation by foreign nations. I have authorized Secretary Perdue to implement the 2nd round of Market Facilitation Payments. Our economy is stronger than ever–we stand with our Farmers!,12/17/18,25031,112625
Anytime you hear a Democrat saying that you can have good Border Security without a Wall write them off as just another politician following the party line. Time for us to save billions of dollars a year and have at the same time far greater safety and control!,12/17/18,32443,133258
It is incredible that with a very strong dollar and virtually no inflation the outside world blowing up around us Paris is burning and China way down the Fed is even considering yet another interest rate hike. Take the Victory!,12/17/18,25130,106546
Anytime you hear a Democrat saying that you can have good Boarder Security without a Wall write them off as just another politician following the party line. Time for us to save billions of dollars a year and have at the same time far greater safety and control!,12/17/18,14599,57372
The DEDUCTIBLE which comes with ObamaCare is so high that it is practically not even useable! Hurts families badly. We have a chance working with the Democrats to deliver great HealthCare! A confirming Supreme Court Decision will lead to GREAT HealthCare results for Americans!,12/17/18,20910,89800
....The Russian Witch Hunt Hoax started as the “insurance policy” long before I even got elected is very bad for our Country. They are Entrapping people for misstatements lies or unrelated things that took place many years ago. Nothing to do with Collusion. A Democrat Scam!,12/16/18,29162,107335
....a persecution of the President.”  Daniel Henninger The Wall Street Journal. Thank you people are starting to see and understand what this Witch Hunt is all about. Jeff Sessions should be ashamed of himself for allowing this total HOAX to get started in the first place!,12/16/18,21700,88359
“It looks here as though General Flynn’s defenses are incidental to something larger which is for the prosecution to figure out if it can find a path to Donald Trump without quite knowing what that crime might be. It stops looking like prosecution and more looking like......,12/16/18,16156,64205
Required television watching is last weeks @marthamaccallum interview with the wonderful wife of Rod Blagojevich and the @trish_regan interview with a Jerome Corsi. If that doesn’t tell you something about what has been going on in our Country nothing will. Very sad!,12/16/18,14659,56633
Required television watching is last weeks @marthamaccallum interview with the wonderful wife of @RodBlagojevich and the @trishregan interview with a Jerome Corsi. If that doesn’t tell you something about what has been going on in our Country nothing will. Very sad!,12/16/18,1470,4974
The Democrats policy of Child Seperation on the Border during the Obama Administration was far worse than the way we handle it now. Remember the 2014 picture of children in cages - the Obama years. However if you don’t separate FAR more people will come. Smugglers use the kids!,12/16/18,24535,93723
Judge Ken Starr former Solicitor Generel &amp; Independent Counsel just stated that after two years “there is no evidence or proof of collusion” &amp; further that “there is no evidence that there was a campaign financing violation involving the President.” Thank you Judge. @FoxNews,12/16/18,21882,82996
At the request of many I will be reviewing the case of a “U.S. Military hero” Major Matt Golsteyn who is charged with murder. He could face the death penalty from our own government after he admitted to killing a Terrorist bomb maker while overseas. @PeteHegseth @FoxNews,12/16/18,26065,99394
Remember Michael Cohen only became a “Rat” after the FBI did something which was absolutely unthinkable &amp; unheard of until the Witch Hunt was illegally started. They BROKE INTO AN ATTORNEY’S OFFICE! Why didn’t they break into the DNC to get the Server or Crooked’s office?,12/16/18,32115,126329
So where are all the missing Text messages between fired FBI agents Peter S and the lovely Lisa Page his lover. Just reported that they have been erased and wiped clean. What an outrage as the totally compromised and conflicted Witch Hunt moves ever so slowly forward. Want them!,12/16/18,25939,101296
A REAL scandal is the one sided coverage hour by hour of networks like NBC &amp; Democrat spin machines like Saturday Night Live. It is all nothing less than unfair news coverage and Dem commercials. Should be tested in courts can’t be legal? Only defame &amp; belittle! Collusion?,12/16/18,24190,96861
Wow 19000 Texts between Lisa Page and her lover Peter S of the FBI in charge of the Russia Hoax were just reported as being wiped clean and gone. Such a big story that will never be covered by the Fake News. Witch Hunt!,12/15/18,36242,121738
The pathetic and dishonest Weekly Standard run by failed prognosticator Bill Kristol (who like many others never had a clue) is flat broke and out of business. Too bad. May it rest in peace!,12/15/18,23530,104385
Never in the history of our Country has the “press” been more dishonest than it is today. Stories that should be good are bad. Stories that should be bad are horrible. Many stories like with the REAL story on Russia Clinton &amp; the DNC seldom get reported. Too bad!,12/15/18,37948,143340
.......The Trump Administration will be announcing the new Secretary of the Interior next week.,12/15/18,11203,62814
Secretary of the Interior @RyanZinke will be leaving the Administration at the end of the year after having served for a period of almost two years. Ryan has accomplished much during his tenure and I want to thank him for his service to our Nation.......,12/15/18,11980,64637
Wow but not surprisingly ObamaCare was just ruled UNCONSTITUTIONAL by a highly respected judge in Texas. Great news for America!,12/15/18,31162,133302
As I predicted all along Obamacare has been struck down as an UNCONSTITUTIONAL disaster! Now Congress must pass a STRONG law that provides GREAT healthcare and protects pre-existing conditions. Mitch and Nancy get it done!,12/15/18,32534,132831
For the record there were MANY people who wanted to be the White House Chief of Staff. Mick M will do a GREAT job!,12/15/18,13320,71805
....I look forward to working with him in this new capacity as we continue to MAKE AMERICA GREAT AGAIN! John will be staying until the end of the year. He is a GREAT PATRIOT and I want to personally thank him for his service!,12/14/18,12676,62243
I am pleased to announce that Mick Mulvaney Director of the Office of Management &amp; Budget will be named Acting White House Chief of Staff replacing General John Kelly who has served our Country with distinction. Mick has done an outstanding job while in the Administration....,12/14/18,17437,79595
Thank you to @tim_cook for agreeing to expand operations in the U.S. and thereby creating thousands of jobs! https://t.co/2zOVxp9nTF,12/14/18,13212,60963
Many people have asked how we are doing in our negotiations with North Korea - I always reply by saying we are in no hurry there is wonderful potential for great economic success for that country....,12/14/18,13960,70466
....Kim Jong Un sees it better than anyone and will fully take advantage of it for his people. We are doing just fine!,12/14/18,11573,58952
China just announced that their economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!,12/14/18,27243,128368
