"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year","week"
"6474","Congressman Ron DeSantis is a brilliant young leader Yale and then Harvard Law who would make a GREAT Governor of Florida. He loves our Country and is a true FIGHTER!",2017-12-22,16490,73124,"Congressman Ron DeSantis is a brilliant young leader Yale and then Harvard Law who would make a GREAT Governor of Florida. He loves our Country and is a true FIGHTER!",3.65,"positive",89614,2017-12-01,2017-01-01,2017-12-18
"6478","“The President has accomplished some absolutely historic things during this past year.” Thank you Charlie Kirk of Turning Points USA. Sadly the Fake Mainstream Media will NEVER talk about our accomplishments in their end of year reviews. We are compiling a long &amp; beautiful list.",2017-12-22,19035,86380,"“The President has accomplished some absolutely historic things during this past year.” Thank you Charlie Kirk of Turning Points USA. Sadly the Fake Mainstream Media will NEVER talk about our accomplishments in their end of year reviews. We are compiling a long &amp; beautiful list.",2.05,"positive",105415,2017-12-01,2017-01-01,2017-12-18
"6479","At some point and for the good of the country I predict we will start working with the Democrats in a Bipartisan fashion. Infrastructure would be a perfect place to start. After having foolishly spent $7 trillion in the Middle East it is time to start rebuilding our country!",2017-12-22,28082,122524,"At some point and for the good of the country I predict we will start working with the Democrats in a Bipartisan fashion. Infrastructure would be a perfect place to start. After having foolishly spent $7 trillion in the Middle East it is time to start rebuilding our country!",1.3,"positive",150606,2017-12-01,2017-01-01,2017-12-18
"6481","Our big and very popular Tax Cut and Reform Bill has taken on an unexpected new source of “love” - that is big companies and corporations showering their workers with bonuses. This is a phenomenon that nobody even thought of and now it is the rage. Merry Christmas!",2017-12-22,22316,95312,"Our big and very popular Tax Cut and Reform Bill has taken on an unexpected new source of “love” - that is big companies and corporations showering their workers with bonuses. This is a phenomenon that nobody even thought of and now it is the rage. Merry Christmas!",2.6,"positive",117628,2017-12-01,2017-01-01,2017-12-18
"6482","THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together we are MAKING AMERICA GREAT AGAIN! https://t.co/9HgcBKDSxo https://t.co/dTMU8OwmWB",2017-12-21,14158,68696,"THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together we are MAKING AMERICA GREAT AGAIN! https://t.co/9HgcBKDSxo https://t.co/dTMU8OwmWB",1.6,"positive",82854,2017-12-01,2017-01-01,2017-12-18
"6485","Was @foxandfriends just named the most influential show in news? You deserve it - three great people! The many Fake News Hate Shows should study your formula for success!",2017-12-21,19332,92315,"Was @foxandfriends just named the most influential show in news? You deserve it - three great people! The many Fake News Hate Shows should study your formula for success!",1.65,"positive",111647,2017-12-01,2017-01-01,2017-12-18
"6490","I would like to congratulate @SenateMajLdr on having done a fantastic job both strategically &amp; politically on the passing in the Senate of the MASSIVE TAX CUT &amp; Reform Bill. I could have not asked for a better or more talented partner. Our team will go onto many more VICTORIES!",2017-12-20,18100,88704,"I would like to congratulate @SenateMajLdr on having done a fantastic job both strategically &amp; politically on the passing in the Senate of the MASSIVE TAX CUT &amp; Reform Bill. I could have not asked for a better or more talented partner. Our team will go onto many more VICTORIES!",3.6,"positive",106804,2017-12-01,2017-01-01,2017-12-18
"6493","Congratulations to Paul Ryan Kevin McCarthy Kevin Brady Steve Scalise Cathy McMorris Rodgers and all great House Republicans who voted in favor of cutting your taxes!",2017-12-19,24855,128188,"Congratulations to Paul Ryan Kevin McCarthy Kevin Brady Steve Scalise Cathy McMorris Rodgers and all great House Republicans who voted in favor of cutting your taxes!",1.85,"positive",153043,2017-12-01,2017-01-01,2017-12-18
"6494","A  story in the @washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!",2017-12-19,25350,97388,"A story in the @washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!",2.1,"positive",122738,2017-12-01,2017-01-01,2017-12-18
"6495","Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy and create many beautiful JOBS!",2017-12-19,14541,69898,"Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy and create many beautiful JOBS!",2.6,"positive",84439,2017-12-01,2017-01-01,2017-12-18
"6497","Together our task is to strengthen our families to build up our communities to serve our citizens and to celebrate AMERICAN GREATNESS as a shining example to the world.... https://t.co/ds6tZlgJpA",2017-12-19,16843,66927,"Together our task is to strengthen our families to build up our communities to serve our citizens and to celebrate AMERICAN GREATNESS as a shining example to the world.... https://t.co/ds6tZlgJpA",1.95,"positive",83770,2017-12-01,2017-01-01,2017-12-18
"6504","Over the past 11 months I have travelled tens of thousands of miles to visit 13 countries. I have met with more than 100 world leaders and everywhere I traveled it was my highest privilege and greatest honor to represent the AMERICAN PEOPLE! https://t.co/7SDsEeIhJH",2017-12-18,13160,64290,"Over the past 11 months I have travelled tens of thousands of miles to visit 13 countries. I have met with more than 100 world leaders and everywhere I traveled it was my highest privilege and greatest honor to represent the AMERICAN PEOPLE! https://t.co/7SDsEeIhJH",2.4,"positive",77450,2017-12-01,2017-01-01,2017-12-18
"6506","My thoughts and prayers are with everyone involved in the train accident in DuPont Washington. Thank you to all of our wonderful First Responders who are on the scene. We are currently monitoring here at the White House.",2017-12-18,15241,83134,"My thoughts and prayers are with everyone involved in the train accident in DuPont Washington. Thank you to all of our wonderful First Responders who are on the scene. We are currently monitoring here at the White House.",1.15,"positive",98375,2017-12-01,2017-01-01,2017-12-18
"6511","Wonderful weekend at Camp David. A very special place. A lot of very important work done. Heading back to the @WhiteHouse now. https://t.co/cKxlsdr1ut",2017-12-17,11081,63898,"Wonderful weekend at Camp David. A very special place. A lot of very important work done. Heading back to the @WhiteHouse now. https://t.co/cKxlsdr1ut",2.55,"positive",74979,2017-12-01,2017-01-01,2017-12-11
"6514","TAX CUTS will increase investment in the American economy and in U.S. workers leading to higher growth higher wages and more JOBS! https://t.co/4GxM8psMU1",2017-12-16,15385,70108,"TAX CUTS will increase investment in the American economy and in U.S. workers leading to higher growth higher wages and more JOBS! https://t.co/4GxM8psMU1",1.15,"positive",85493,2017-12-01,2017-01-01,2017-12-11
"6516","Great job Kevin we are all proud of you! https://t.co/K6hEEaOxKt",2017-12-16,13977,65484,"Great job Kevin we are all proud of you! https://t.co/K6hEEaOxKt",1.25,"positive",79461,2017-12-01,2017-01-01,2017-12-11
"6518","Today it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in Quantico Virginia. I am honored to serve as your Commander-in-Chief. On behalf of an entire Nation THANK YOU for your sacrifice and service. We love you! https://t.co/eLOTc7do52",2017-12-15,18380,78203,"Today it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in Quantico Virginia. I am honored to serve as your Commander-in-Chief. On behalf of an entire Nation THANK YOU for your sacrifice and service. We love you! https://t.co/eLOTc7do52",3.65,"positive",96583,2017-12-01,2017-01-01,2017-12-11
"6520","To each member of the graduating class from the National Academy at Quantico CONGRATULATIONS! https://t.co/bGT8S33ZLU",2017-12-15,10079,52942,"To each member of the graduating class from the National Academy at Quantico CONGRATULATIONS! https://t.co/bGT8S33ZLU",1.15,"positive",63021,2017-12-01,2017-01-01,2017-12-11
"6521","It was my honor. THANK YOU! https://t.co/1LvqbRQ1bi",2017-12-15,14133,69299,"It was my honor. THANK YOU! https://t.co/1LvqbRQ1bi",1.5,"positive",83432,2017-12-01,2017-01-01,2017-12-11
"6524","When Americans are free to thrive innovate &amp; prosper there is no challenge too great no task too large &amp; no goal beyond our reach. We are a nation of explorers pioneers innovators &amp; inventors. We are nation of people who work hard dream big &amp; who never ever give up... https://t.co/9LVdp6zOgZ",2017-12-14,16849,69650,"When Americans are free to thrive innovate &amp; prosper there is no challenge too great no task too large &amp; no goal beyond our reach. We are a nation of explorers pioneers innovators &amp; inventors. We are nation of people who work hard dream big &amp; who never ever give up... https://t.co/9LVdp6zOgZ",3,"positive",86499,2017-12-01,2017-01-01,2017-12-11
"6526","As a candidate I promised we would pass a massive tax cut for the everyday working Americans. If you make your voices heard this moment will be forever remembered as a great new beginning – the dawn of a brilliant American future shining with PATRIOTISM PROSPERITY AND PRIDE! https://t.co/exsBzrlCdw",2017-12-14,18400,77121,"As a candidate I promised we would pass a massive tax cut for the everyday working Americans. If you make your voices heard this moment will be forever remembered as a great new beginning – the dawn of a brilliant American future shining with PATRIOTISM PROSPERITY AND PRIDE! https://t.co/exsBzrlCdw",4.9,"positive",95521,2017-12-01,2017-01-01,2017-12-11
"6528","Thank you Omarosa for your service! I wish you continued success.",2017-12-13,13915,86535,"Thank you Omarosa for your service! I wish you continued success.",2.05,"positive",100450,2017-12-01,2017-01-01,2017-12-11
"6531","The reason I originally endorsed Luther Strange (and his numbers went up mightily) is that I said Roy Moore will not be able to win the General Election.  I was right! Roy worked hard but the deck was stacked against him!",2017-12-13,15235,75633,"The reason I originally endorsed Luther Strange (and his numbers went up mightily) is that I said Roy Moore will not be able to win the General Election. I was right! Roy worked hard but the deck was stacked against him!",2.3,"positive",90868,2017-12-01,2017-01-01,2017-12-11
"6532","Congratulations to Doug Jones on a hard fought victory. The write-in votes played a very big factor but a win is a win. The people of Alabama are great and the Republicans will have another shot at this seat in a very short period of time. It never ends!",2017-12-13,24939,123062,"Congratulations to Doug Jones on a hard fought victory. The write-in votes played a very big factor but a win is a win. The people of Alabama are great and the Republicans will have another shot at this seat in a very short period of time. It never ends!",2.1,"positive",148001,2017-12-01,2017-01-01,2017-12-11
"6533","Wishing all of those celebrating #Hanukkah around the world a happy and healthy eight nights in the company of those they love. https://t.co/A5W0PDWBxp https://t.co/D9MVVPq39x",2017-12-12,17237,76040,"Wishing all of those celebrating #Hanukkah around the world a happy and healthy eight nights in the company of those they love. https://t.co/A5W0PDWBxp https://t.co/D9MVVPq39x",3.8,"positive",93277,2017-12-01,2017-01-01,2017-12-11
"6534","Consumer Confidence is at an All-Time High along with a Record High Stock Market. Unemployment is at a 17 year low. MAKE AMERICA GREAT AGAIN! Working to pass MASSIVE TAX CUTS (looking good).",2017-12-12,20179,92234,"Consumer Confidence is at an All-Time High along with a Record High Stock Market. Unemployment is at a 17 year low. MAKE AMERICA GREAT AGAIN! Working to pass MASSIVE TAX CUTS (looking good).",1.15,"positive",112413,2017-12-01,2017-01-01,2017-12-11
"6540","Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very hard and smart. End result will be not only important but SPECIAL!",2017-12-10,18268,95820,"Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very hard and smart. End result will be not only important but SPECIAL!",2.35,"positive",114088,2017-12-01,2017-01-01,2017-12-04
"6543","Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY! Congratulations!",2017-12-09,15390,93901,"Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY! Congratulations!",2,"positive",109291,2017-12-01,2017-01-01,2017-12-04
"6544","Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY (last time was 1996). Wow! Congratulations!",2017-12-09,1657,7867,"Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY (last time was 1996). Wow! Congratulations!",2.5,"positive",9524,2017-12-01,2017-01-01,2017-12-04
"6547","Have a great game today @USArmy and @USNavy - I will be watching. We love our U.S. Military. On behalf of an entire Nation THANK YOU for your sacrifice and service! #ArmyNavyGame #USA🇺🇸 https://t.co/8m1W9rFwIh",2017-12-09,10992,53589,"Have a great game today @USArmy and @USNavy - I will be watching. We love our U.S. Military. On behalf of an entire Nation THANK YOU for your sacrifice and service! #ArmyNavyGame #USA🇺🇸 https://t.co/8m1W9rFwIh",1.75,"positive",64581,2017-12-01,2017-01-01,2017-12-04
"6549","Heading to the great state of Mississippi at the invitation of their popular and respected Governor @PhilBryantMS. Look forward to seeing the new Civil Rights Museum!",2017-12-09,10642,59761,"Heading to the great state of Mississippi at the invitation of their popular and respected Governor @PhilBryantMS. Look forward to seeing the new Civil Rights Museum!",4.45,"positive",70403,2017-12-01,2017-01-01,2017-12-04
"6552","A big contingent of very enthusiastic Roy Moore fans at the rally last night. We can’t have a Pelosi/Schumer Liberal Democrat Jones in that important Alabama Senate seat. Need your vote to Make America Great Again! Jones will always vote against what we must do for our Country.",2017-12-09,13914,60349,"A big contingent of very enthusiastic Roy Moore fans at the rally last night. We can’t have a Pelosi/Schumer Liberal Democrat Jones in that important Alabama Senate seat. Need your vote to Make America Great Again! Jones will always vote against what we must do for our Country.",2.6,"positive",74263,2017-12-01,2017-01-01,2017-12-04
"6553","GREAT EVENING last night in Pensacola Florida. Arena was packed to the rafters the crowd was loud loving and really smart. They definitely get what’s going on. Thank you Pensacola!",2017-12-09,14097,74724,"GREAT EVENING last night in Pensacola Florida. Arena was packed to the rafters the crowd was loud loving and really smart. They definitely get what’s going on. Thank you Pensacola!",2,"positive",88821,2017-12-01,2017-01-01,2017-12-04
"6554","We believe that every American should stand for the National Anthem and we proudly pledge allegiance to one NATION UNDER GOD! https://t.co/r2ITtWwfVs",2017-12-09,17053,70174,"We believe that every American should stand for the National Anthem and we proudly pledge allegiance to one NATION UNDER GOD! https://t.co/r2ITtWwfVs",1.55,"positive",87227,2017-12-01,2017-01-01,2017-12-04
"6562","Big crowd expected today in Pensacola Florida for a Make America Great Again speech. We have done so much in so short a period of time...and yet are planning to do so much more! See you there!",2017-12-08,15771,80230,"Big crowd expected today in Pensacola Florida for a Make America Great Again speech. We have done so much in so short a period of time...and yet are planning to do so much more! See you there!",1.25,"positive",96001,2017-12-01,2017-01-01,2017-12-04
"6563","I fulfilled my campaign promise - others didn’t! https://t.co/bYdaOHmPVJ",2017-12-08,55482,153721,"I fulfilled my campaign promise - others didn’t! https://t.co/bYdaOHmPVJ",1.55,"positive",209203,2017-12-01,2017-01-01,2017-12-04
"6564","Tonight @FLOTUS Melania and I were thrilled to welcome so many wonderful friends to the @WhiteHouse – and wish them all a very #HappyHanukkahhttps://t.co/wyPkpTsP1i https://t.co/XhNXZSBEC8",2017-12-08,10311,49440,"Tonight @FLOTUS Melania and I were thrilled to welcome so many wonderful friends to the @WhiteHouse – and wish them all a very #HappyHanukkahhttps://t.co/wyPkpTsP1i https://t.co/XhNXZSBEC8",2.55,"positive",59751,2017-12-01,2017-01-01,2017-12-04
"6566","Today as we Remember Pearl Harbor it was an incredible honor to be joined with surviving Veterans of the attack on 12/7/1941. They are HEROES and they are living witnesses to American History. All American hearts are filled with gratitude for their service and their sacrifice. https://t.co/x5LDl25o30",2017-12-07,12949,62267,"Today as we Remember Pearl Harbor it was an incredible honor to be joined with surviving Veterans of the attack on 12/7/1941. They are HEROES and they are living witnesses to American History. All American hearts are filled with gratitude for their service and their sacrifice. https://t.co/x5LDl25o30",3.4,"positive",75216,2017-12-01,2017-01-01,2017-12-04
"6568","Today our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought for America. God Bless our HEROES who wear the uniform and God Bless the United States of America. #PearlHarborRemembranceDay🇺🇸 https://t.co/qGhlsPlxtH",2017-12-07,22167,81641,"Today our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought for America. God Bless our HEROES who wear the uniform and God Bless the United States of America. #PearlHarborRemembranceDay🇺🇸 https://t.co/qGhlsPlxtH",2.8,"positive",103808,2017-12-01,2017-01-01,2017-12-04
"6570","Go get the new book on Andrew Jackson by Brian Kilmeade...Really good. @foxandfriends",2017-12-07,10350,55973,"Go get the new book on Andrew Jackson by Brian Kilmeade...Really good. @foxandfriends",1.55,"positive",66323,2017-12-01,2017-01-01,2017-12-04
"6573","Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the advice and orders of local and state officials. THANK YOU to all First Responders for your incredible work! https://t.co/g9y9PkB352",2017-12-06,14015,67014,"Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the advice and orders of local and state officials. THANK YOU to all First Responders for your incredible work! https://t.co/g9y9PkB352",2,"positive",81029,2017-12-01,2017-01-01,2017-12-04
"6576","Yesterday I was thrilled to be with so many WONDERFUL friends in Utah’s MAGNIFICENT Capitol.It was my honor to sign two Presidential Proclamations that will modify the national monuments designations of both Bears Ears and Grand Staircase Escalante...https://t.co/jiTHcPovCi https://t.co/dIpdAUVoRB",2017-12-05,14747,67604,"Yesterday I was thrilled to be with so many WONDERFUL friends in Utah’s MAGNIFICENT Capitol.It was my honor to sign two Presidential Proclamations that will modify the national monuments designations of both Bears Ears and Grand Staircase Escalante...https://t.co/jiTHcPovCi https://t.co/dIpdAUVoRB",3.85,"positive",82351,2017-12-01,2017-01-01,2017-12-04
"6577","A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the greatest Witch Hunt in U.S. political history. Enjoy!",2017-12-04,18746,75521,"A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the greatest Witch Hunt in U.S. political history. Enjoy!",2.2,"positive",94267,2017-12-01,2017-01-01,2017-12-04
"6594","We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to @SenateMajLdr Mitch McConnell and Chairman @SenOrrinHatch for shepherding our bill through the Senate. Look forward to signing a final bill before Christmas! https://t.co/gmWTny3SfS",2017-12-02,17324,71463,"We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to @SenateMajLdr Mitch McConnell and Chairman @SenOrrinHatch for shepherding our bill through the Senate. Look forward to signing a final bill before Christmas! https://t.co/gmWTny3SfS",2,"positive",88787,2017-12-01,2017-01-01,2017-11-27
"6595","Economists on the TAX CUTS and JOBS ACT:“The enactment of a comprehensive overhaul - complete with a lower corporate tax rate - will IGNITE our ECONOMY with levels of GROWTH not SEEN IN GENERATIONS...” https://t.co/2vCBDtLh3C",2017-12-01,15817,60513,"Economists on the TAX CUTS and JOBS ACT:“The enactment of a comprehensive overhaul - complete with a lower corporate tax rate - will IGNITE our ECONOMY with levels of GROWTH not SEEN IN GENERATIONS...” https://t.co/2vCBDtLh3C",1.15,"positive",76330,2017-12-01,2017-01-01,2017-11-27
"6596","The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not leaving and while we disagree on certain subjects (I call the final shots) we work well together and America is highly respected again!https://t.co/FrqiPLFJ1E",2017-12-01,22573,88187,"The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not leaving and while we disagree on certain subjects (I call the final shots) we work well together and America is highly respected again!https://t.co/FrqiPLFJ1E",1.1,"positive",110760,2017-12-01,2017-01-01,2017-11-27
"6597","Republicans Senators are working hard to pass the biggest Tax Cuts in the history of our Country. The Bill is getting better and better. This is a once in a generation chance. Obstructionist Dems trying to block because they think it is too good and will not be given the credit!",2017-12-01,17840,82098,"Republicans Senators are working hard to pass the biggest Tax Cuts in the history of our Country. The Bill is getting better and better. This is a once in a generation chance. Obstructionist Dems trying to block because they think it is too good and will not be given the credit!",1.7,"positive",99938,2017-12-01,2017-01-01,2017-11-27
"6601","The Christmas Story begins 2000 years ago with a mother a father their baby son and the most extraordinary gift of all—the gift of God’s love for all of humanity.Whatever our beliefs we know that the birth of Jesus Christ and the story of his life... https://t.co/P94C3LjWlx",2017-12-01,48641,154798,"The Christmas Story begins 2000 years ago with a mother a father their baby son and the most extraordinary gift of all—the gift of God’s love for all of humanity.Whatever our beliefs we know that the birth of Jesus Christ and the story of his life... https://t.co/P94C3LjWlx",3.45,"positive",203439,2017-12-01,2017-01-01,2017-11-27
"6602","Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about many times before. Now as President of the United States it is my tremendous honor to finally wish America and the world a very MERRY CHRISTMAS! https://t.co/cTvdlUkfHV",2017-12-01,28878,114046,"Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about many times before. Now as President of the United States it is my tremendous honor to finally wish America and the world a very MERRY CHRISTMAS! https://t.co/cTvdlUkfHV",4.3,"positive",142924,2017-12-01,2017-01-01,2017-11-27
"6604","Today it was my great honor to meet with the Crown Prince of Bahrain at the @WhiteHouse. Bahrain and the United States are important partners.During the Crown Prince’s visit he is advancing $9 BILLION in commercial deals including finalizing the purchase of F-16’s... https://t.co/vYuw7UGYmN",2017-11-30,10519,47414,"Today it was my great honor to meet with the Crown Prince of Bahrain at the @WhiteHouse. Bahrain and the United States are important partners.During the Crown Prince’s visit he is advancing $9 BILLION in commercial deals including finalizing the purchase of F-16’s... https://t.co/vYuw7UGYmN",4.6,"positive",57933,2017-11-01,2017-01-01,2017-11-27
"6605","Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l",2017-11-30,14497,52926,"Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l",1.4,"positive",67423,2017-11-01,2017-01-01,2017-11-27
"6607","Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!",2017-11-30,16011,88557,"Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!",3.05,"positive",104568,2017-11-01,2017-01-01,2017-11-27
"6613","The only people who don’t like the Tax Cut Bill are the people that don’t understand it or the Obstructionist Democrats that know how really good it is and do not want the credit and success to go to the Republicans!",2017-11-30,18643,80814,"The only people who don’t like the Tax Cut Bill are the people that don’t understand it or the Obstructionist Democrats that know how really good it is and do not want the credit and success to go to the Republicans!",1.9,"positive",99457,2017-11-01,2017-01-01,2017-11-27
"6617","Now we have a once in a lifetime opportunity to RESTORE AMERICAN PROSPERITY – and RECLAIM AMERICA’S DESTINY.But in order to achieve this bright and glowing future the SENATE MUST PASS TAX CUTS – and bring Main Street roaring back to life!https://t.co/jMNwEMrbbr https://t.co/3Niu0thp1D",2017-11-30,12924,52666,"Now we have a once in a lifetime opportunity to RESTORE AMERICAN PROSPERITY – and RECLAIM AMERICA’S DESTINY.But in order to achieve this bright and glowing future the SENATE MUST PASS TAX CUTS – and bring Main Street roaring back to life!https://t.co/jMNwEMrbbr https://t.co/3Niu0thp1D",4.45,"positive",65590,2017-11-01,2017-01-01,2017-11-27
"6618","A vote to CUT TAXES is a vote to PUT AMERICA FIRST. It is time to take care of OUR WORKERS to protect OUR COMMUNITIES and to REBUILD OUR GREAT COUNTRY! https://t.co/wW3QNxcCHf https://t.co/sRL2yRK6k2",2017-11-29,11531,48832,"A vote to CUT TAXES is a vote to PUT AMERICA FIRST. It is time to take care of OUR WORKERS to protect OUR COMMUNITIES and to REBUILD OUR GREAT COUNTRY! https://t.co/wW3QNxcCHf https://t.co/sRL2yRK6k2",2,"positive",60363,2017-11-01,2017-01-01,2017-11-27
"6619","This week the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of America. Together we will give the American people a big beautiful Christmas present-a massive tax cut that lets Americans keep more of their HARD-EARNED MONEY! https://t.co/9jddEW2Oo5",2017-11-29,12542,54882,"This week the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of America. Together we will give the American people a big beautiful Christmas present-a massive tax cut that lets Americans keep more of their HARD-EARNED MONEY! https://t.co/9jddEW2Oo5",1.85,"positive",67424,2017-11-01,2017-01-01,2017-11-27
