"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year"
"81","It is a shame that the biased media is able to so incorrectly define a word for the public when they know that the definition is wrong. Sad!",2015-12-23,2184,6379,"It is a shame that the biased media is able to so incorrectly define a word for the public when they know that the definition is wrong. Sad!",-3.8,"negative",8563,2015-12-01,2015-01-01
"82","When I said that Hillary Clinton got schlonged by Obama it meant got beaten badly. The media knows this. Often used word in politics!",2015-12-23,10157,17704,"When I said that Hillary Clinton got schlonged by Obama it meant got beaten badly. The media knows this. Often used word in politics!",-1.75,"negative",27861,2015-12-01,2015-01-01
"85","For those on TV defending my use of the word ""schlonged"" bc #MSM is giving it false meaning-tell them it means beaten badly. Dishonest #MSM",2015-12-23,2502,5613,"For those on TV defending my use of the word ""schlonged"" bc #MSM is giving it false meaning-tell them it means beaten badly. Dishonest #MSM",-2.85,"negative",8115,2015-12-01,2015-01-01
"86","NPR's @NealConan said ""schlonged"" to WaPo re: 1984 Mondale/Ferraro campaign: ""That ticket went on to get schlonged at the polls."" #Hypocrisy",2015-12-23,1774,3714,"NPR's @NealConan said ""schlonged"" to WaPo re: 1984 Mondale/Ferraro campaign: ""That ticket went on to get schlonged at the polls."" #Hypocrisy",-1,"negative",5488,2015-12-01,2015-01-01
"87","Once again #MSM is dishonest. ""Schlonged"" is not vulgar. When I said Hillary got ""schlonged"" that meant beaten badly.",2015-12-23,4159,7452,"Once again #MSM is dishonest. ""Schlonged"" is not vulgar. When I said Hillary got ""schlonged"" that meant beaten badly.",-3.25,"negative",11611,2015-12-01,2015-01-01
"89","Watching @CNN and consider @secupp to be one of the least talented people on television. Boring and biased!",2015-12-22,1016,3286,"Watching @CNN and consider @secupp to be one of the least talented people on television. Boring and biased!",-1.5,"negative",4302,2015-12-01,2015-01-01
"106","It's the Democrats' total weakness &amp; incompetence that gave rise to ISIS --  not a tape of Donald Trump that was an admitted Hillary lie!",2015-12-21,2968,6977,"It's the Democrats' total weakness &amp; incompetence that gave rise to ISIS -- not a tape of Donald Trump that was an admitted Hillary lie!",-2,"negative",9945,2015-12-01,2015-01-01
"118","It was really strange when Hillary was missing from the podium last night. Not very presidential!",2015-12-20,2873,7956,"It was really strange when Hillary was missing from the podium last night. Not very presidential!",-1,"negative",10829,2015-12-01,2015-01-01
"122","Hillary Clinton lied when she said that ""ISIS is using video of Donald Trump as a recruiting tool."" This was fact checked by @FoxNews: FALSE",2015-12-20,4676,9582,"Hillary Clinton lied when she said that ""ISIS is using video of Donald Trump as a recruiting tool."" This was fact checked by @FoxNews: FALSE",-1.2,"negative",14258,2015-12-01,2015-01-01
"128","See Sanders backed Hillary on E-mails at the debate hurting himself and then she threw him under the bus (but failed). Disloyal person!",2015-12-19,4517,10549,"See Sanders backed Hillary on E-mails at the debate hurting himself and then she threw him under the bus (but failed). Disloyal person!",-2.25,"negative",15066,2015-12-01,2015-01-01
"134","Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!",2015-12-18,1821,5092,"Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!",-2.1,"negative",6913,2015-12-01,2015-01-01
"135","I have an idea for @JebBush whose campaign is a disaster. Try using your last name &amp; don’t be ashamed of it!",2015-12-18,2891,7036,"I have an idea for @JebBush whose campaign is a disaster. Try using your last name &amp; don’t be ashamed of it!",-2,"negative",9927,2015-12-01,2015-01-01
"137","As I have been saying. Only the beginning: ""ISIS Suspects Arrested in Turkey 150 European Passports Seized."" https://t.co/55NWoy7OHG",2015-12-18,2851,5325,"As I have been saying. Only the beginning: ""ISIS Suspects Arrested in Turkey 150 European Passports Seized."" https://t.co/55NWoy7OHG",-1.6,"negative",8176,2015-12-01,2015-01-01
"140","There is no question who will handle the threat of terrorism best as #POTUS. #Trump2016 https://t.co/frS7alctbB https://t.co/0P4qSnAltb",2015-12-18,3135,6521,"There is no question who will handle the threat of terrorism best as #POTUS. #Trump2016 https://t.co/frS7alctbB https://t.co/0P4qSnAltb",-1.1,"negative",9656,2015-12-01,2015-01-01
"145",".@GlennBeck got fired like a dog by #Fox. The Blaze is failing and he wanted to have me on his show. I said no - because he is irrelevant.",2015-12-17,2951,7341,".@GlennBeck got fired like a dog by #Fox. The Blaze is failing and he wanted to have me on his show. I said no - because he is irrelevant.",-1.75,"negative",10292,2015-12-01,2015-01-01
"172","Why isn't anyone using the @CNN Iowa Poll with me having a big lead. They only want to use the one negative poll (2nd place).Dishonest press",2015-12-15,1665,4786,"Why isn't anyone using the @CNN Iowa Poll with me having a big lead. They only want to use the one negative poll (2nd place).Dishonest press",-1.25,"negative",6451,2015-12-01,2015-01-01
"203","Something must be done with dopey @KarlRove - he is pushing Republicans down the same old path of defeat. Don't fall for it Karl is a loser",2015-12-13,2528,6031,"Something must be done with dopey @KarlRove - he is pushing Republicans down the same old path of defeat. Don't fall for it Karl is a loser",-1.55,"negative",8559,2015-12-01,2015-01-01
"241","Dummy @KarlRove continues to make and write false statements. He still thinks Romney won--he should get a life!",2015-12-10,1616,4433,"Dummy @KarlRove continues to make and write false statements. He still thinks Romney won--he should get a life!",-1.1,"negative",6049,2015-12-01,2015-01-01
"251",".@Megynkelly spent a big part of her show talking about other shows spending so much time on me. Really weird she's being driven crazy!",2015-12-10,1641,4614,".@Megynkelly spent a big part of her show talking about other shows spending so much time on me. Really weird she's being driven crazy!",-1,"negative",6255,2015-12-01,2015-01-01
"252","Weak and totally conflicted people like @TheRickWilson shouldn't be allowed on television unless given an I.Q. test. Dumb as a rock!  @CNN",2015-12-10,1654,4137,"Weak and totally conflicted people like @TheRickWilson shouldn't be allowed on television unless given an I.Q. test. Dumb as a rock! @CNN",-1.75,"negative",5791,2015-12-01,2015-01-01
"256","Why does @CNN bore their audience with people like @secupp a totally biased loser who doesn't have a clue. I hear she will soon be gone!",2015-12-10,1471,4041,"Why does @CNN bore their audience with people like @secupp a totally biased loser who doesn't have a clue. I hear she will soon be gone!",-1.75,"negative",5512,2015-12-01,2015-01-01
"257",".@secupp who can't believe that her candidate has bombed so badly is one of the dumber pundits on T.V. Hard to watch zero talent! @CNN",2015-12-10,1037,2932,".@secupp who can't believe that her candidate has bombed so badly is one of the dumber pundits on T.V. Hard to watch zero talent! @CNN",-2.05,"negative",3969,2015-12-01,2015-01-01
"261","Carter Banned Iranians From Coming To U.S. During Hostage Crisis https://t.co/Kok27117dl",2015-12-09,4176,6766,"Carter Banned Iranians From Coming To U.S. During Hostage Crisis https://t.co/Kok27117dl",-2.25,"negative",10942,2015-12-01,2015-01-01
"266",".@Mayor_Nutter of Philadelphia who is doing a terrible job should be ashamed for using such a disgusting word in referring to me.Low life!",2015-12-09,2534,5599,".@Mayor_Nutter of Philadelphia who is doing a terrible job should be ashamed for using such a disgusting word in referring to me.Low life!",-2.75,"negative",8133,2015-12-01,2015-01-01
"274","Wow what a day. So many foolish people that refuse to acknowledge the tremendous  danger and uncertainty of certain people coming into U.S.",2015-12-09,6079,13531,"Wow what a day. So many foolish people that refuse to acknowledge the tremendous danger and uncertainty of certain people coming into U.S.",-1.75,"negative",19610,2015-12-01,2015-01-01
"304","N.Y.C. has the worst Mayor in the United States. I hate watching what is happening with the dirty streets the homeless and crime! Disgrace",2015-12-07,3306,7618,"N.Y.C. has the worst Mayor in the United States. I hate watching what is happening with the dirty streets the homeless and crime! Disgrace",-4.25,"negative",10924,2015-12-01,2015-01-01
"308","Well Obama refused to say (he just can't say it) that we are at WAR with RADICAL ISLAMIC TERRORISTS.",2015-12-07,6849,13899,"Well Obama refused to say (he just can't say it) that we are at WAR with RADICAL ISLAMIC TERRORISTS.",-1.05,"negative",20748,2015-12-01,2015-01-01
"314","Hillary won't call out radical Islam! She will be soundly defeated.",2015-12-07,2654,6930,"Hillary won't call out radical Islam! She will be soundly defeated.",-1.35,"negative",9584,2015-12-01,2015-01-01
"327","Hillary just said that she will not use the term ""radical Islamic"" - but was incapable of saying why. She is afraid of  Obama &amp; the e-mails!",2015-12-06,2792,5737,"Hillary just said that she will not use the term ""radical Islamic"" - but was incapable of saying why. She is afraid of Obama &amp; the e-mails!",-2.1,"negative",8529,2015-12-01,2015-01-01
"330","Wonder if Obama will ever say RADICAL ISLAMIC TERRORIST?",2015-12-06,4967,10387,"Wonder if Obama will ever say RADICAL ISLAMIC TERRORIST?",-1.6,"negative",15354,2015-12-01,2015-01-01
"333",".@KatyTurNBC 3rd rate reporter &amp; @SopanDeb @ CBS lied. Finished in normal manner&amp;signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o",2015-12-06,1313,2655,".@KatyTurNBC 3rd rate reporter &amp; @SopanDeb @ CBS lied. Finished in normal manner&amp;signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o",-1.5,"negative",3968,2015-12-01,2015-01-01
"342","A total refutation of the disgraceful David Brooks column in the failing @NYTimes by the @WashingtonPost: https://t.co/WbToL9lqD3",2015-12-04,852,1701,"A total refutation of the disgraceful David Brooks column in the failing @NYTimes by the @WashingtonPost: https://t.co/WbToL9lqD3",-1.65,"negative",2553,2015-12-01,2015-01-01
"345","The horrible shooting that took place in San Bernardino was an absolute act of terror that many people knew about. Why didn’t they report?",2015-12-04,2204,5236,"The horrible shooting that took place in San Bernardino was an absolute act of terror that many people knew about. Why didn’t they report?",-2.6,"negative",7440,2015-12-01,2015-01-01
"348","The virtually incompetent Republican Strategist who has had a failed career Cheri Jacobus is incoherent with anger that her puppets died!",2015-12-04,1429,3292,"The virtually incompetent Republican Strategist who has had a failed career Cheri Jacobus is incoherent with anger that her puppets died!",-2.6,"negative",4721,2015-12-01,2015-01-01
"370","Heading to Manassas Virginia for a rally. Will have a moment of silence for the victims of the California shootings. So sad!",2015-12-02,1827,5899,"Heading to Manassas Virginia for a rally. Will have a moment of silence for the victims of the California shootings. So sad!",-1.25,"negative",7726,2015-12-01,2015-01-01
"371","#TeamTrump. Police and law enforcement seem to have killed one of the California shooters and are in a shootout with the others. Go police",2015-12-02,2666,8269,"#TeamTrump. Police and law enforcement seem to have killed one of the California shooters and are in a shootout with the others. Go police",-1.25,"negative",10935,2015-12-01,2015-01-01
"378","Illegal immigrant children non-Mexicans surge across border at record rate https://t.co/V6TP55dRAC",2015-12-02,1616,2322,"Illegal immigrant children non-Mexicans surge across border at record rate https://t.co/V6TP55dRAC",-1,"negative",3938,2015-12-01,2015-01-01
"389","Jamiel Shaw was incredible on @foxandfriends this morning. His son who was viciously killed by an illegal immigrant is so proud of pop!",2015-12-01,979,2311,"Jamiel Shaw was incredible on @foxandfriends this morning. His son who was viciously killed by an illegal immigrant is so proud of pop!",-1.25,"negative",3290,2015-12-01,2015-01-01
"404","Just watched Cookie Roberts on @ABC. Her predictions have been so wrong for so long that she has lost all credibility. Just another sad case",2015-11-29,1191,3446,"Just watched Cookie Roberts on @ABC. Her predictions have been so wrong for so long that she has lost all credibility. Just another sad case",-1.25,"negative",4637,2015-11-01,2015-01-01
"405",".@CNN has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring",2015-11-29,2120,5600,".@CNN has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring",-1.45,"negative",7720,2015-11-01,2015-01-01
"423","The @nytimes is so poorly run and managed that other family members are looking to take over control. With unfunded liabilities-big trouble!",2015-11-26,1110,2838,"The @nytimes is so poorly run and managed that other family members are looking to take over control. With unfunded liabilities-big trouble!",-1.5,"negative",3948,2015-11-01,2015-01-01
"429","@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser!  Fox should dump Rove.",2015-11-25,681,1445,"@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser! Fox should dump Rove.",-1.75,"negative",2126,2015-11-01,2015-01-01
"446","When you do your Christmas shopping remember how disloyal @Macys was to the subject of illegal immigration. #BoycottMacys #DumpMacys",2015-11-23,3447,6840,"When you do your Christmas shopping remember how disloyal @Macys was to the subject of illegal immigration. #BoycottMacys #DumpMacys",-1.6,"negative",10287,2015-11-01,2015-01-01
"450",".@AP continues to do extremely dishonest reporting. Always looking for a hit to bring them back into relevancy—ain’t working!",2015-11-23,1056,2779,".@AP continues to do extremely dishonest reporting. Always looking for a hit to bring them back into relevancy—ain’t working!",-1,"negative",3835,2015-11-01,2015-01-01
"452","Hillary Clinton is weak on illegal immigration among many other things. She is strong on corruption - corruption is what she's best at!",2015-11-22,6655,13142,"Hillary Clinton is weak on illegal immigration among many other things. She is strong on corruption - corruption is what she's best at!",-1.25,"negative",19797,2015-11-01,2015-01-01
"461",".ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage.",2015-11-22,1038,2631,".ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage.",-1.85,"negative",3669,2015-11-01,2015-01-01
"469","A woman who got fired after two days of working with Scott Walker - a wacko - now trying to raise funds to fight me.",2015-11-21,1062,2446,"A woman who got fired after two days of working with Scott Walker - a wacko - now trying to raise funds to fight me.",-1.75,"negative",3508,2015-11-01,2015-01-01
"484","Can you believe the worst Mayor in the U.S. &amp; probably the worst Mayor in the history of #NYC @BilldeBlasio just called me a blow hard!",2015-11-20,1874,4104,"Can you believe the worst Mayor in the U.S. &amp; probably the worst Mayor in the history of #NYC @BilldeBlasio just called me a blow hard!",-1.15,"negative",5978,2015-11-01,2015-01-01
"492","The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!",2015-11-20,6526,12758,"The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!",-2,"negative",19284,2015-11-01,2015-01-01
"495","John Kasich was managing director of Lehman Brothers when it crashed bringing down the world and ruining people's lives. A total failure!",2015-11-20,1679,3720,"John Kasich was managing director of Lehman Brothers when it crashed bringing down the world and ruining people's lives. A total failure!",-1.85,"negative",5399,2015-11-01,2015-01-01
"497","John Kasich fell right into President Obama’s trap on ObamaCare and the people of Ohio are suffering for it. Shame!",2015-11-20,1503,3708,"John Kasich fell right into President Obama’s trap on ObamaCare and the people of Ohio are suffering for it. Shame!",-1.95,"negative",5211,2015-11-01,2015-01-01
"502","I want to do negative ads on John Kasich but he is so irrelevant to the race that I don’t want to waste my money.",2015-11-20,3042,6639,"I want to do negative ads on John Kasich but he is so irrelevant to the race that I don’t want to waste my money.",-1.65,"negative",9681,2015-11-01,2015-01-01
"503","John Kasich despite being Governor of Ohio is losing to me in the Ohio polls. Pathetic!",2015-11-20,1438,3597,"John Kasich despite being Governor of Ohio is losing to me in the Ohio polls. Pathetic!",-1.5,"negative",5035,2015-11-01,2015-01-01
"522",".@AP is doing very badly. I can say from experience their reporting is terrible &amp; highly inaccurate. Sadly they are now irrelevant!",2015-11-17,1238,2811,".@AP is doing very badly. I can say from experience their reporting is terrible &amp; highly inaccurate. Sadly they are now irrelevant!",-4,"negative",4049,2015-11-01,2015-01-01
"527","I along with almost everyone else have so little confidence in President Obama. He has a horrible attitude-a man who is resigned to defeat",2015-11-17,5912,12559,"I along with almost everyone else have so little confidence in President Obama. He has a horrible attitude-a man who is resigned to defeat",-1.55,"negative",18471,2015-11-01,2015-01-01
"540","Remember I was the one who said attack the oil (ISIS source of wealth) a long time ago. Everyone scoffed now they're attacking the oil.",2015-11-16,6194,13251,"Remember I was the one who said attack the oil (ISIS source of wealth) a long time ago. Everyone scoffed now they're attacking the oil.",-1.75,"negative",19445,2015-11-01,2015-01-01
"545","I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!",2015-11-15,797,2166,"I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!",-1.75,"negative",2963,2015-11-01,2015-01-01
"546",".@VanityFair Magazine is doing really poorly. It has gotten worse and worse over the years and has lost almost all of it's former allure!",2015-11-15,653,1993,".@VanityFair Magazine is doing really poorly. It has gotten worse and worse over the years and has lost almost all of it's former allure!",-1.45,"negative",2646,2015-11-01,2015-01-01
"550","When will President Obama issue the words RADICAL ISLAMIC TERRORISM? He  can't say it and unless he will  the problem will not be solved!",2015-11-15,7037,14047,"When will President Obama issue the words RADICAL ISLAMIC TERRORISM? He can't say it and unless he will the problem will not be solved!",-1.3,"negative",21084,2015-11-01,2015-01-01
"554","Why won't President Obama use the term Islamic Terrorism? Isn't it now after all of this time and so much death about time!",2015-11-15,6924,13377,"Why won't President Obama use the term Islamic Terrorism? Isn't it now after all of this time and so much death about time!",-1.5,"negative",20301,2015-11-01,2015-01-01
"557","President Obama said ""ISIL continues to shrink"" in an interview just hours before the horrible attack in Paris. He is just so bad! CHANGE.",2015-11-14,9036,19491,"President Obama said ""ISIL continues to shrink"" in an interview just hours before the horrible attack in Paris. He is just so bad! CHANGE.",-2.25,"negative",28527,2015-11-01,2015-01-01
"558","My prayers are with the victims and hostages in the horrible Paris attacks. May God be with you all.",2015-11-13,13372,29617,"My prayers are with the victims and hostages in the horrible Paris attacks. May God be with you all.",-2,"negative",42989,2015-11-01,2015-01-01
"559","Boy is this guy @ShepNewsTeam tough on me. So totally biased. As a reporter he should be ashamed of himself! #Trump2016",2015-11-13,1463,4250,"Boy is this guy @ShepNewsTeam tough on me. So totally biased. As a reporter he should be ashamed of himself! #Trump2016",-1.6,"negative",5713,2015-11-01,2015-01-01
"563",".@seanhannity  Carly whose campaign is dead is making false statements about me in order to salvage hope! Sad.",2015-11-13,1103,3074,".@seanhannity Carly whose campaign is dead is making false statements about me in order to salvage hope! Sad.",-1.6,"negative",4177,2015-11-01,2015-01-01
"574","Macy’s was very disloyal to me bc of my strong stance on illegal immigration. Their stock has crashed! #BoycottMacys https://t.co/WsvZtwZbBf",2015-11-12,3200,7354,"Macy’s was very disloyal to me bc of my strong stance on illegal immigration. Their stock has crashed! #BoycottMacys https://t.co/WsvZtwZbBf",-2.1,"negative",10554,2015-11-01,2015-01-01
"575","Thank you @Forbes for showing the @WSJ was wrong. So dishonest! https://t.co/wOjEXdEkNg",2015-11-12,1339,2566,"Thank you @Forbes for showing the @WSJ was wrong. So dishonest! https://t.co/wOjEXdEkNg",-1.25,"negative",3905,2015-11-01,2015-01-01
"578","Total fool @KarlRove is part of the Republican Establishment problem. An all talk no action dummy!   https://t.co/CxLHA87hS1",2015-11-12,1428,2898,"Total fool @KarlRove is part of the Republican Establishment problem. An all talk no action dummy! https://t.co/CxLHA87hS1",-1.35,"negative",4326,2015-11-01,2015-01-01
"579",".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.https://t.co/t9JZGIUAYl",2015-11-12,1443,2675,".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.https://t.co/t9JZGIUAYl",-1.25,"negative",4118,2015-11-01,2015-01-01
"580","Why does the failing @WSJ write a false editorial about me and let dummy @KarlRove make the same mistake in the same edition of the paper?",2015-11-12,1171,2569,"Why does the failing @WSJ write a false editorial about me and let dummy @KarlRove make the same mistake in the same edition of the paper?",-2.6,"negative",3740,2015-11-01,2015-01-01
"581",".@KarlRove is a biased dope who wrote falsely about me re China and TPP. This moron wasted $430 million on political campaigns and lost 100%",2015-11-12,1982,4237,".@KarlRove is a biased dope who wrote falsely about me re China and TPP. This moron wasted $430 million on political campaigns and lost 100%",-4,"negative",6219,2015-11-01,2015-01-01
"583","Why wouldn't the @WSJ call for comment or clarification before writing an editorial which is so totally wrong. No wonder it is doing poorly!",2015-11-12,1037,2529,"Why wouldn't the @WSJ call for comment or clarification before writing an editorial which is so totally wrong. No wonder it is doing poorly!",-1.5,"negative",3566,2015-11-01,2015-01-01
"585","The @WSJ Editorial Board is so wrong so often. They got info from an incorrect story in another pub. Why not watch and listen to debate.",2015-11-12,867,2047,"The @WSJ Editorial Board is so wrong so often. They got info from an incorrect story in another pub. Why not watch and listen to debate.",-1.5,"negative",2914,2015-11-01,2015-01-01
"630","@BillKristol has become a sad case. His magazine is failing badly probably doesn't have long to go and his predictions are always wrong!",2015-11-06,457,899,"@BillKristol has become a sad case. His magazine is failing badly probably doesn't have long to go and his predictions are always wrong!",-3,"negative",1356,2015-11-01,2015-01-01
"639","Such bad reporting: A puff piece on Ben Carson in the @nytimes states that Carson ""is trying to solidify his lead."" But I am #1 easily! Sad",2015-11-06,1059,2562,"Such bad reporting: A puff piece on Ben Carson in the @nytimes states that Carson ""is trying to solidify his lead."" But I am #1 easily! Sad",-1,"negative",3621,2015-11-01,2015-01-01
"650","Isn't it terrible that @megynkelly used a poll not used before (I.B.D.) when I was down but refuses to use it now when I am up?",2015-11-04,2042,5242,"Isn't it terrible that @megynkelly used a poll not used before (I.B.D.) when I was down but refuses to use it now when I am up?",-1.55,"negative",7284,2015-11-01,2015-01-01
"678","No complaints but how many people would be watching these really dumb but record setting debates if I wasn't in them? Interesting question!",2015-10-31,1261,2909,"No complaints but how many people would be watching these really dumb but record setting debates if I wasn't in them? Interesting question!",-1,"negative",4170,2015-10-01,2015-01-01
"690","Black Lives Matter protesters totally disrupt Hillary Clinton event. She looked lost. This is not what we need with ISIS CHINA RUSSIA etc.",2015-10-31,2261,4570,"Black Lives Matter protesters totally disrupt Hillary Clinton event. She looked lost. This is not what we need with ISIS CHINA RUSSIA etc.",-2.4,"negative",6831,2015-10-01,2015-01-01
"691","I am going to save Medicare and Medicaid Carson wants to abolish and failing candidate Gov. John Kasich doesn't have a clue - weak!",2015-10-31,1756,4001,"I am going to save Medicare and Medicaid Carson wants to abolish and failing candidate Gov. John Kasich doesn't have a clue - weak!",-1,"negative",5757,2015-10-01,2015-01-01
"703","Wow just heard really bad stuff about the failing  @politico. How much longer  will they be around? Some very untalented reporters.",2015-10-30,1381,3223,"Wow just heard really bad stuff about the failing @politico. How much longer will they be around? Some very untalented reporters.",-1,"negative",4604,2015-10-01,2015-01-01
